DP,Rank,Zip Code,Population,X,Y,Pop11%,Pop5%
0,1,29483,91630,-79.99513052786354,32.794840941204846,10080,4582
1,4,29485,60383,-80.02032564391183,32.77521659311614,6643,3020
2,5,29445,59233,-79.9231491031816,32.850906907766436,6516,2962
3,8,29464,53119,-79.89951486705294,32.86931549440324,5844,2656
4,10,29588,51632,-78.95017021579645,33.608755227750585,5680,2582
5,12,29526,50489,-78.8764168724003,33.66620133281067,5554,2525
6,17,29579,44037,-78.85223325844937,33.68503782704654,4845,2202
7,18,29910,43618,-80.82157472497192,32.15112774818537,4798,2181
8,21,29466,41466,-79.8412532024592,32.91469520942512,4562,2074
9,23,29412,41049,-80.00029551828003,32.79081795636867,4516,2053
10,25,29461,40696,-79.83217882044029,32.92176319955017,4477,2035
11,28,29414,39319,-80.01996479478099,32.77549765667376,4326,1966
12,36,29406,36202,-79.95039341100713,32.8296864545969,3983,1811
13,38,29407,35385,-79.99881081418928,32.79197438485383,3893,1770
14,43,29456,33408,-79.97207993889609,32.81279492802831,3675,1671
15,44,29576,33347,-79.01330335345736,33.55958114706704,3669,1668
16,48,29577,32858,-78.91173738145882,33.63869036746699,3615,1643
17,55,29405,29620,-79.95684113662865,32.82466435381614,3259,1481
18,60,29906,28205,-80.63586993007881,32.29577227094676,3103,1411
19,66,29926,27160,-80.7425165093098,32.21270579134466,2988,1358
20,68,29527,26793,-78.95590516661228,33.60428830365045,2948,1340
21,69,29440,26790,-79.27701762222907,33.35417544080184,2947,1340
22,71,29410,25743,-79.93939663876237,32.8382517847176,2832,1288
23,79,29420,22878,-79.99446443157426,32.795359760225814,2517,1144
24,80,29455,22492,-80.10272616509508,32.71103524514016,2475,1125
25,81,29403,22117,-79.97574384521774,32.809941129979414,2433,1106
26,82,29418,22088,-79.996268363524,32.79395468678054,2430,1105
27,90,29488,20792,-80.35549006821245,32.51415872313779,2288,1040
28,91,29909,20554,-80.81911151942468,32.15304632649159,2261,1028
29,97,29575,19673,-78.95925410257946,33.60167983441297,2165,984
30,100,29566,18269,-78.63318729444708,33.85565161730521,2010,914
31,107,29582,17356,-78.68539038488693,33.8149908949599,1910,868
32,110,29568,17153,-78.71655781781627,33.790714739546914,1887,858
33,116,29569,16470,-78.71291333807325,33.79355340633226,1812,824
34,119,29902,16083,-80.6106095816092,32.31544742823755,1770,805
35,121,29585,15935,-79.13660236791614,33.46354417013488,1753,797
36,125,29928,15553,-80.77152662896074,32.19010995630132,1711,778
37,126,29907,15524,-80.56609145320084,32.35012237263822,1708,777
38,130,29936,14498,-80.76403368753415,32.19594617037082,1595,725
39,134,29492,14210,-79.86963052237101,32.89259225888874,1564,711
40,135,29571,14185,-78.95625300602538,33.60401737329599,1561,710
41,139,29560,13557,-79.33042299999114,33.312578262959796,1492,678
42,150,29556,11687,-79.44599586816028,33.22255914218204,1286,585
43,155,29920,11042,-80.54357735304946,32.367658491044175,1215,553
44,160,29574,10471,-78.85954785931605,33.67934052153454,1152,524
45,161,29472,10463,-80.0572015158811,32.746494163490794,1151,524
46,165,29572,10163,-78.78124152180588,33.74033293061515,1118,509
47,169,29927,9644,-80.8918231550955,32.09641160229472,1061,483
48,171,29510,9467,-79.40880382786393,33.25152783371359,1042,474
49,172,29554,9460,-79.1909564257302,33.4212080702125,1041,473
50,173,29401,9360,-79.9648281979901,32.81844327223579,1030,468
51,180,29449,8005,-80.1862544690164,32.64597547291014,881,401
52,182,29477,7903,-80.16534799454048,32.662259419832104,870,396
53,188,29431,7700,-79.69540901205454,33.02829250954194,847,385
54,191,29479,6940,-79.66154549806257,33.054668628818845,764,347
55,198,29555,6146,-79.16826434894813,33.43888281371332,677,308
56,202,29511,5799,-78.88398274227215,33.660308315145095,638,290
