S,0,1,2,3,4,5,6,7,8,9,10
0,0,1,2,2,3,3,4,4,4,4,4
1,0,1,2,2,2,3,3,3,2,1,1
2,0,1,2,3,3,4,4,5,5,5,5
3,0,1,2,3,3,3,3,3,3,2,2
4,0,1,1,3,4,4,5,4,4,4,3
5,0,1,2,2,3,3,4,3,3,3,4
6,0,1,0,1,1,2,3,3,2,2,1
7,0,1,2,2,3,4,4,4,4,3,3
8,0,1,1,2,3,3,3,4,4,3,3
9,0,1,1,3,4,5,5,5,4,3,3
10,0,1,2,2,3,3,4,4,4,4,4
11,0,1,2,2,3,3,3,3,3,3,2
12,0,1,1,3,3,4,4,4,4,4,4
13,0,1,1,3,4,4,5,4,4,3,3
14,0,1,1,2,3,4,4,4,4,3,2
15,0,1,1,2,2,2,3,3,3,2,2
16,0,1,1,3,3,4,4,4,4,4,4
17,0,1,1,1,2,3,4,4,4,4,4
18,0,1,1,1,2,1,1,1,1,1,0
19,0,1,1,2,3,4,4,4,4,4,4
20,0,1,1,1,2,3,4,4,3,3,2
21,0,1,1,1,1,2,3,2,2,2,2
22,0,1,1,1,2,3,4,3,3,3,2
23,0,1,2,3,3,4,5,4,4,4,4
24,0,1,1,3,3,3,3,3,3,3,3
25,0,1,3,3,4,3,3,3,2,2,2
26,0,1,1,2,2,3,3,3,3,3,3
27,0,1,2,3,4,4,4,4,4,3,3
28,0,1,1,1,3,3,4,4,4,4,3
29,0,1,1,3,4,4,4,4,4,4,3
30,0,1,1,2,2,3,3,3,3,3,3
31,0,1,2,2,2,2,3,1,2,1,1
32,0,1,1,2,3,3,4,3,3,3,2
33,0,1,1,1,1,2,2,3,3,1,1
34,0,1,1,2,4,4,4,4,4,3,3
35,0,1,2,2,3,3,4,3,3,3,3
36,0,1,1,2,3,2,3,3,3,3,2
37,0,1,1,3,3,3,4,4,4,4,4
38,0,1,1,3,4,4,5,5,4,4,4
39,0,1,2,2,3,3,3,3,2,2,1
40,0,1,3,4,4,4,4,4,4,3,3
41,0,1,1,2,3,4,4,4,4,4,4
42,0,1,1,2,3,3,4,4,3,3,2
43,0,1,2,3,3,4,4,4,4,4,4
44,0,1,1,2,3,3,4,3,3,2,2
45,0,1,2,2,2,2,2,2,2,2,2
46,0,1,1,2,3,3,4,4,4,4,3
47,0,1,1,2,2,3,4,3,3,3,2
48,0,1,2,4,4,5,5,5,5,5,5
49,0,1,1,3,3,4,4,4,4,3,2
50,0,1,1,1,2,2,4,3,3,3,2
51,0,1,2,3,4,4,4,4,3,2,1
52,0,1,1,1,2,2,3,2,1,1,1
53,0,1,1,1,1,3,3,4,3,3,3
54,0,1,2,3,3,4,4,4,4,4,4
55,0,1,1,2,3,3,4,3,2,2,2
56,0,1,1,2,3,3,4,4,3,2,3
57,0,1,1,3,3,3,4,4,4,4,4
58,0,1,1,1,1,2,2,2,3,2,2
59,0,1,1,2,3,3,3,3,3,3,2
60,0,1,1,3,4,4,5,4,4,4,4
61,0,1,1,2,3,3,4,3,3,3,2
62,0,1,2,3,4,4,4,4,4,4,4
63,0,1,1,3,4,4,4,4,5,5,5
64,0,1,1,2,2,3,3,3,3,3,3
65,0,1,2,3,3,4,4,4,5,4,4
66,0,1,1,2,3,3,4,4,3,3,3
67,0,1,2,3,3,3,4,4,4,3,3
68,0,1,1,2,3,4,4,4,4,4,4
69,0,1,1,2,3,3,3,3,2,2,1
70,0,1,1,3,3,4,4,4,4,4,4
71,0,1,1,2,2,2,2,3,2,2,1
72,0,1,1,3,3,3,3,3,2,2,1
73,0,1,2,4,4,4,4,4,4,4,3
74,0,1,2,3,4,4,4,4,5,5,4
75,0,1,1,3,3,4,5,4,4,4,4
76,0,1,1,2,4,4,4,4,4,3,3
77,0,1,2,3,3,4,4,5,5,5,4
78,0,1,2,3,4,4,4,4,3,3,3
79,0,1,1,2,3,3,3,3,1,0,0
80,0,1,1,3,3,3,3,3,2,2,2
81,0,1,1,2,3,3,3,2,3,3,3
82,0,1,1,3,3,4,4,4,4,4,3
83,0,1,1,2,2,3,3,4,4,4,3
84,0,1,1,1,2,3,4,3,3,3,3
85,0,1,2,2,3,4,4,4,3,3,2
86,0,1,1,2,4,4,4,4,4,4,3
87,0,1,1,2,3,4,4,4,4,4,3
88,0,1,1,3,4,4,4,4,4,4,3
89,0,1,1,2,2,2,2,2,2,1,0
90,0,1,1,2,3,4,4,3,3,3,2
91,0,1,1,2,3,4,4,4,3,3,2
92,0,1,2,2,3,4,4,4,3,3,2
93,0,1,2,3,3,4,4,4,4,4,4
94,0,1,1,1,1,2,3,2,1,1,0
95,0,1,1,1,1,1,0,1,1,0,0
96,0,1,0,2,3,2,2,2,1,1,2
97,0,1,1,3,2,3,4,4,3,3,2
98,0,1,1,2,2,3,3,3,3,2,2
99,0,1,1,2,2,3,4,4,4,3,3
100,0,1,1,2,3,3,3,3,3,3,3
101,0,1,1,1,1,2,2,2,2,1,1
102,0,1,1,1,1,1,2,2,1,1,1
103,0,1,1,2,2,2,3,3,3,2,1
104,0,1,1,3,4,4,4,3,3,3,2
105,0,1,2,2,2,2,3,3,2,1,1
106,0,1,1,2,3,3,3,3,2,2,2
107,0,1,1,1,2,4,4,3,2,3,2
108,0,1,1,3,3,3,3,3,3,3,2
109,0,1,1,2,3,3,3,4,4,4,3
110,0,1,1,1,2,3,3,2,1,1,1
111,0,1,2,3,3,4,4,4,4,4,4
112,0,1,2,2,3,3,3,3,3,3,3
113,0,1,1,1,3,3,4,4,4,3,3
114,0,1,2,3,3,3,4,3,2,2,2
115,0,1,1,1,2,3,4,4,4,4,3
116,0,1,1,2,3,4,4,4,3,3,2
117,0,1,2,3,4,4,4,4,5,5,4
118,0,1,2,2,3,3,3,2,3,3,2
119,0,1,2,3,4,4,4,4,4,3,3
120,0,1,2,2,3,3,4,4,4,3,3
121,0,1,1,1,2,2,3,3,3,2,2
122,0,1,2,3,3,3,4,4,4,4,4
123,0,1,2,2,2,3,3,3,3,2,1
124,0,1,1,1,1,1,1,1,0,1,0
125,0,1,2,4,4,5,5,5,5,5,5
126,0,1,2,3,4,5,5,4,4,5,4
127,0,1,2,3,3,3,3,3,2,2,2
128,0,1,1,2,3,3,4,3,3,3,2
129,0,1,1,2,2,3,3,3,1,1,1
130,0,1,2,3,4,5,5,5,4,4,4
131,0,1,2,3,3,4,4,4,4,3,3
132,0,1,1,2,3,3,4,3,3,2,2
133,0,1,2,4,4,4,5,4,4,4,3
134,0,1,2,3,4,3,4,4,4,3,3
135,0,1,1,2,2,3,3,3,3,2,1
136,0,1,2,2,3,4,5,4,4,4,4
137,0,1,1,1,2,3,2,3,3,2,2
138,0,1,1,2,2,2,3,2,2,1,1
139,0,1,2,3,4,4,4,4,4,3,3
140,0,1,1,2,2,3,3,3,3,3,3
141,0,1,1,2,3,3,3,3,2,2,1
142,0,1,1,3,3,3,4,4,3,2,2
143,0,1,1,1,2,2,3,2,2,1,1
144,0,1,1,3,4,4,4,4,4,4,3
145,0,1,1,1,1,2,2,2,2,2,1
146,0,1,1,3,4,4,4,4,4,4,4
147,0,1,1,1,3,3,3,2,2,1,1
148,0,1,1,1,1,2,3,3,3,3,2
149,0,1,1,2,2,3,3,3,3,2,2
150,0,1,1,1,1,1,2,1,1,1,1
151,0,1,1,3,3,3,4,4,4,4,3
152,0,1,1,1,2,3,4,4,4,3,2
153,0,1,1,2,2,2,2,2,1,1,0
154,0,1,2,3,3,4,4,4,3,3,3
155,0,1,2,3,4,4,5,4,4,4,4
156,0,1,1,1,2,3,2,2,2,1,1
157,0,1,1,2,3,4,4,4,3,2,2
158,0,1,2,3,3,3,4,4,4,4,3
159,0,1,1,1,2,3,4,4,4,3,3
160,0,1,1,1,2,3,4,3,3,3,3
161,0,1,1,3,3,3,4,4,4,3,2
162,0,1,1,1,3,3,4,4,4,3,2
163,0,1,1,2,3,4,4,4,4,4,4
164,0,1,2,3,3,3,4,4,3,2,2
165,0,1,1,1,1,2,2,2,1,0,0
166,0,1,1,2,3,3,4,4,4,3,2
167,0,1,2,3,4,4,5,5,5,4,4
168,0,1,1,1,2,2,2,3,2,2,2
169,0,1,1,2,3,3,2,2,2,1,0
170,0,1,1,2,2,3,3,3,3,3,3
171,0,1,1,2,3,3,3,3,3,3,3
172,0,1,2,3,3,3,3,3,3,3,2
173,0,1,1,2,2,3,3,2,2,1,0
174,0,1,1,3,3,4,4,4,4,3,3
175,0,1,1,2,3,3,4,4,3,3,3
176,0,1,1,2,3,3,4,4,4,3,3
177,0,1,3,3,4,4,4,4,4,4,4
178,0,1,1,2,3,4,4,3,3,2,2
179,0,1,2,3,3,3,3,3,3,4,4
180,0,1,1,2,3,2,3,2,1,1,0
181,0,1,2,3,4,4,4,4,4,4,3
182,0,1,2,3,4,4,5,5,5,4,3
183,0,1,1,2,3,4,4,4,4,3,3
184,0,1,1,1,1,1,2,1,1,0,0
185,0,1,1,2,2,2,3,2,2,2,1
186,0,1,1,2,3,3,4,3,2,2,2
187,0,1,1,1,2,1,1,2,2,2,1
188,0,1,1,2,3,2,4,4,4,3,4
189,0,1,2,3,3,3,4,4,4,4,4
190,0,1,1,2,3,4,4,3,3,3,3
191,0,1,1,2,2,2,2,3,3,2,2
192,0,1,1,1,2,3,3,3,2,1,1
193,0,1,2,2,4,4,5,5,4,4,4
194,0,1,1,3,3,4,4,4,4,4,4
195,0,1,1,1,2,1,1,1,1,0,0
196,0,1,2,3,4,4,5,5,5,5,5
197,0,1,1,2,3,4,4,4,4,4,4
198,0,1,1,2,2,2,2,3,2,2,2
199,0,1,1,2,1,2,3,2,2,3,3
200,0,1,1,2,2,3,3,2,3,3,2
201,0,1,2,3,2,3,3,3,2,1,1
202,0,1,2,3,4,4,4,4,4,4,3
203,0,1,1,3,3,4,4,4,4,4,5
204,0,1,1,2,3,3,4,4,4,4,3
205,0,1,1,1,2,1,2,2,3,3,2
206,0,1,2,2,3,3,3,3,3,3,3
207,0,1,1,3,3,4,4,4,4,4,4
208,0,1,3,3,4,4,4,4,4,4,3
209,0,1,1,2,3,3,3,3,2,2,2
210,0,1,1,2,2,1,2,1,1,1,1
211,0,1,1,1,3,3,4,3,2,2,2
212,0,1,1,3,3,4,4,4,4,4,3
213,0,1,1,2,3,3,4,3,3,2,2
214,0,1,1,2,2,3,3,3,3,2,3
215,0,1,1,2,3,4,4,4,3,3,2
216,0,1,1,2,3,4,5,5,5,4,4
217,0,1,1,1,2,3,3,4,4,3,3
218,0,1,1,2,2,1,1,1,2,1,0
219,0,1,1,2,2,3,3,3,3,3,2
220,0,1,1,3,4,3,4,4,4,3,3
221,0,1,1,1,2,2,3,3,3,3,2
222,0,1,1,2,3,4,4,3,3,1,1
223,0,1,1,1,2,2,3,4,3,3,2
224,0,1,2,2,4,4,3,3,3,3,2
225,0,1,1,2,3,4,4,4,4,4,4
226,0,1,1,1,1,1,2,1,1,0,0
227,0,1,2,3,4,5,5,5,5,5,4
228,0,1,1,3,3,4,4,3,3,3,2
229,0,1,1,3,4,4,5,4,3,3,2
230,0,1,1,3,4,4,4,4,4,3,3
231,0,1,2,3,4,4,4,4,4,4,4
232,0,1,1,3,4,5,5,5,5,5,4
233,0,1,1,3,4,4,5,5,5,4,4
234,0,1,1,2,3,4,4,4,4,4,4
235,0,1,1,2,2,3,3,4,4,3,3
236,0,1,1,2,3,3,4,3,3,2,2
237,0,1,1,2,2,3,3,3,3,2,1
238,0,1,1,3,4,3,3,3,3,3,2
239,0,1,2,4,4,4,4,4,3,2,2
240,0,1,2,3,3,3,4,4,4,4,4
241,0,1,2,2,3,3,3,3,3,1,1
242,0,1,1,2,3,4,4,4,3,2,3
243,0,1,1,1,1,1,1,1,1,1,0
244,0,1,1,2,4,4,4,4,3,3,2
245,0,1,1,2,3,3,4,3,3,3,4
246,0,1,1,1,2,3,3,3,3,3,1
247,0,1,1,2,3,4,4,4,4,3,3
248,0,1,1,2,2,1,2,2,2,1,1
249,0,1,1,1,3,4,4,4,3,3,3
250,0,1,2,3,3,4,4,4,4,3,3
251,0,1,1,2,3,3,3,3,2,1,1
252,0,1,1,3,3,4,3,3,2,2,2
253,0,1,1,2,3,4,4,5,4,4,4
