Rank,Zip Code,Population
1,29483,91630
2,29681,64806
3,29072,64143
4,29485,60383
5,29445,59233
6,29732,58351
7,29730,57174
8,29464,53119
9,29223,52895
10,29588,51632
11,29651,51262
12,29526,50489
13,29229,50137
14,29720,48641
15,29073,47694
16,29501,46306
17,29579,44037
18,29910,43618
19,29621,42546
20,29063,42194
21,29466,41466
22,29687,41098
23,29412,41049
24,29607,40933
25,29461,40696
26,29203,40638
27,29210,40488
28,29414,39319
29,29605,38808
30,29803,38735
31,29708,38452
32,29150,38203
33,29615,37349
34,29710,37269
35,29715,36277
36,29406,36202
37,29301,35585
38,29407,35385
39,29209,35206
40,29650,35053
41,29745,34052
42,29707,34022
43,29456,33408
44,29576,33347
45,29349,33134
46,29642,33120
47,29841,32989
48,29577,32858
49,29550,32083
50,29680,31913
51,29611,31180
52,29609,31127
53,29673,30704
54,29640,29766
55,29405,29620
56,29617,28936
57,29646,28739
58,29801,28610
59,29212,28234
60,29906,28205
61,29625,27875
62,29045,27751
63,29303,27575
64,29154,27443
65,29316,27315
66,29926,27160
67,29115,26893
68,29527,26793
69,29440,26790
70,29649,26440
71,29410,25743
72,29505,24763
73,29690,24595
74,29016,24255
75,29205,23970
76,29036,23935
77,29678,23299
78,29169,23100
79,29420,22878
80,29455,22492
81,29403,22117
82,29418,22088
83,29170,21839
84,29644,21811
85,29020,21443
86,29108,21235
87,29341,21213
88,29360,21044
89,29201,20906
90,29488,20792
91,29909,20554
92,29532,20499
93,29340,20327
94,29506,20304
95,29053,20028
96,29706,19813
97,29575,19673
98,29206,18676
99,29307,18583
100,29566,18269
101,29512,18233
102,29671,18125
103,29204,17755
104,29627,17445
105,29379,17438
106,29306,17388
107,29582,17356
108,29102,17245
109,29070,17208
110,29568,17153
111,29536,16838
112,29118,16771
113,29302,16727
114,29662,16600
115,29860,16483
116,29569,16470
117,29630,16212
118,29078,16162
119,29902,16083
120,29388,16000
121,29585,15935
122,29657,15847
123,29153,15821
124,29631,15573
125,29928,15553
126,29907,15524
127,29624,14926
128,29325,14763
129,29323,14649
130,29936,14498
131,29697,14421
132,29334,14298
133,29061,14295
134,29492,14210
135,29571,14185
136,29369,14119
137,29626,13847
138,29693,13747
139,29560,13557
140,29520,13447
141,29180,13119
142,29207,12797
143,29601,12785
144,29669,12624
145,29033,12430
146,29620,12413
147,29691,12141
148,29672,12038
149,29010,12017
150,29556,11687
151,29365,11572
152,29161,11537
153,29829,11387
154,29067,11223
155,29920,11042
156,29138,11040
157,29812,10969
158,29040,10912
159,29172,10901
160,29574,10471
161,29472,10463
162,29645,10445
163,29670,10232
164,29702,10209
165,29572,10163
166,29006,9887
167,29654,9829
168,29541,9719
169,29927,9644
170,29728,9616
171,29510,9467
172,29554,9460
173,29401,9360
174,29330,9316
175,29054,9179
176,29322,9177
177,29135,8589
178,29824,8432
179,29127,8386
180,29449,8005
181,29385,8004
182,29477,7903
183,29565,7887
184,29842,7778
185,29376,7760
186,29851,7743
187,29356,7722
188,29431,7700
189,29123,7195
190,29130,7064
191,29479,6940
192,29655,6923
193,29160,6628
194,29709,6578
195,29148,6526
196,29666,6436
197,29003,6224
198,29555,6146
199,29853,6139
200,29835,6119
201,29335,6028
202,29511,5799
203,29044,5772
204,29918,5765
205,29676,5748
206,29832,5727
207,29661,5684
208,29032,5669
209,29544,5571
210,29945,5544
211,29059,5484
212,29692,5483
213,29696,5435
214,29805,5409
215,29048,5406
216,29583,5406
217,29634,5329
218,29142,5307
219,29164,4979
220,29847,4936
221,29128,4869
222,29042,4850
223,29470,4840
224,29684,4809
225,29591,4746
226,29058,4726
227,29372,4709
228,29069,4681
229,29581,4626
230,29540,4556
231,29924,4515
232,29935,4515
233,29129,4492
234,29429,4465
235,29451,4463
236,29435,4429
237,29436,4352
238,29940,4340
239,29653,4310
240,29817,4293
241,29831,4270
242,29168,4249
243,29718,4220
244,29810,4084
245,29689,4012
246,29827,3982
247,29112,3907
248,29384,3872
249,29039,3863
250,29353,3793
251,29944,3790
252,29055,3761
253,29682,3644
254,29047,3635
255,29856,3607
256,29638,3546
257,29590,3543
258,29178,3485
259,29018,3288
260,29374,3209
261,29714,3178
262,29570,3172
263,29107,3048
264,29125,3017
265,29101,2991
266,29704,2930
267,29332,2925
268,29546,2914
269,29080,2883
270,29458,2860
271,29162,2859
272,29321,2821
273,29075,2819
274,29432,2816
275,29809,2729
276,29487,2693
277,29438,2638
278,29742,2594
279,29450,2539
280,29475,2534
281,29409,2500
282,29547,2496
283,29628,2480
284,29468,2479
285,29741,2422
286,29439,2391
287,29126,2391
288,29152,2387
289,29437,2347
290,29643,2327
291,29038,2280
292,29916,2257
293,29729,2215
294,29474,2210
295,29712,2199
296,29727,2189
297,29482,2177
298,29613,2168
299,29664,2162
300,29056,2150
301,29404,2150
302,29530,2149
303,29584,2070
304,29137,2062
305,29563,2039
306,29009,1999
307,29448,1989
308,29593,1987
309,29545,1958
310,29685,1945
311,29639,1914
312,29834,1889
313,29614,1886
314,29015,1883
315,29596,1852
316,29114,1840
317,29525,1827
318,29111,1825
319,29001,1811
320,29030,1772
321,29051,1720
322,29733,1713
323,29113,1687
324,29163,1665
325,29717,1662
326,29426,1635
327,29052,1634
328,29819,1607
329,29031,1574
330,29821,1568
331,29726,1537
332,29905,1494
333,29843,1493
334,29471,1490
335,29481,1482
336,29580,1479
337,29104,1452
338,29014,1446
339,29743,1438
340,29911,1436
341,29146,1380
342,29225,1348
343,29635,1334
344,29105,1274
345,29351,1270
346,29081,1188
347,29453,1183
348,29816,1171
349,29117,1134
350,29564,1106
351,29899,1037
352,29686,1019
353,29922,987
354,29446,940
355,29518,938
356,29516,929
357,29133,919
358,29848,881
359,29929,872
360,29037,842
361,29904,833
362,29469,817
363,29355,810
364,29845,808
365,29145,773
366,29166,770
367,29208,766
368,29543,674
369,29370,673
370,29934,629
371,29592,623
372,29828,604
373,29921,552
374,29377,550
375,29434,542
376,29941,538
377,29082,515
378,29683,508
379,29364,500
380,29915,485
381,29424,464
382,29320,459
383,29838,458
384,29175,456
385,29943,454
386,29849,452
387,29333,416
388,29519,407
389,29658,397
390,29567,372
391,29373,355
392,29594,351
393,29826,321
394,29346,312
395,29065,309
396,29202,295
397,29939,289
398,29840,281
399,29324,264
400,29836,254
401,29667,253
402,29329,214
403,29923,203
404,29074,201
405,29493,194
406,29932,175
407,29452,169
408,29659,167
409,29844,136
410,29046,130
411,29062,127
412,29368,112
413,29665,98
414,29375,95
415,29331,93
416,29122,51
417,29850,48
418,29338,31
419,29378,17
420,29079,10
