SN,COUNTY,GEOID,X,Y,CAPACITY
1,Dillon,45033,-79.37889862,34.39158317,2502
2,York,45091,-81.18435279,34.9747567,234
3,Berkeley,45015,-79.95215964,33.19732393,7283
4,Florence,45041,-79.70297921,34.02449099,5147
5,Edgefield,45037,-81.96644257,33.77224242,891
6,McCormick,45065,-82.30987838,33.8995498,355
7,Pickens,45077,-82.72524896,34.88734536,398
8,Kershaw,45055,-80.59021843,34.33879887,1234
9,Hampton,45049,-81.14070261,32.7762763,1603
10,Richland,45079,-80.90308596,34.02184602,2876
11,Sumter,45085,-80.38231603,33.91617218,5285
12,Lexington,45063,-81.27217751,33.90228966,4236
13,Calhoun,45017,-80.78028011,33.67485498,996
14,Marion,45067,-79.36251012,34.08005862,2018
15,Chesterfield,45025,-80.15868305,34.63975596,3922
16,Colleton,45029,-80.64968432,32.84342616,1766
17,Lee,45061,-80.25452393,34.16329366,1606
18,Laurens,45059,-82.00593404,34.48356774,1146
19,Greenville,45045,-82.3707711,34.89433681,9900
20,Cherokee,45021,-81.62042868,35.04819981,422
21,Aiken,45003,-81.63469484,33.54429527,3215
22,Newberry,45071,-81.60011985,34.2898118,499
23,Orangeburg,45075,-80.80029974,33.43899148,8419
24,Horry,45051,-78.97613745,33.90461095,4425
25,Bamberg,45009,-81.05423377,33.214771,1470
26,Chester,45023,-81.15953127,34.69205729,849
27,Barnwell,45011,-81.43502277,33.26606363,684
28,Williamsburg,45089,-79.72771203,33.61992549,1971
29,Beaufort,45013,-80.69219893,32.35704821,6583
30,Fairfield,45039,-81.12122916,34.39511113,571
31,Lancaster,45057,-80.70542338,34.68668191,1695
32,Spartanburg,45083,-81.99082747,34.93124657,2638
33,Charleston,45019,-79.89681922,32.82504349,5764
34,Clarendon,45027,-80.21640497,33.66580606,2430
35,Union,45087,-81.61941543,34.68928158,1464
36,Marlboro,45069,-79.67872262,34.60206033,1403
37,Georgetown,45043,-79.2991977,33.41282518,2490
38,Darlington,45031,-79.9577199,34.33250695,4059
39,Saluda,45081,-81.72692826,34.00610554,586
40,Dorchester,45035,-80.40668575,33.07931306,11178
41,Allendale,45005,-81.35820134,32.98811001,506
42,Jasper,45053,-81.02211376,32.42058411,1693
43,Anderson,45007,-82.63775096,34.51928081,725
