STMID,Date/Time,Lat,Lon,000hA01,012hA01,024hA01,036hA01,048hA01,072hA01,096hA01,120hA01
AL012018,25-05-2018/12:00:00,18.8,87.1,0,-5.4,40.1,4.3,10.8,-6.3,-83.4,-279.5
AL012018,25-05-2018/18:00:00,18.7,86.5,0,59.3,-10.5,-29.1,-12.2,-48.0,-133.5,-277.2
AL012018,26-05-2018/00:00:00,18.9,85.9,0,-35.3,-45.1,-69.0,-26.3,-71.7,-166.4,-261.1
AL032018,06-07-2018/18:00:00,31.8,73.6,0,4.0,-12.8,28.5,-43.3,-12.3,-30.4,-121.6
AL032018,07-07-2018/00:00:00,32.2,74.2,0,-12.4,10.9,40.1,-16.8,93.4,39.0,-119.5
AL032018,07-07-2018/06:00:00,32.6,74.6,0,-1.0,21.3,-38.0,-70.9,147.9,150.6,-47.6
AL032018,07-07-2018/12:00:00,32.7,74.9,0,6.8,40.1,-5.7,-113.0,233.1,334.8,297.2
AL062018,31-08-2018/18:00:00,13.8,23.8,0,33.8,30.6,34.8,31.4,12.7,58.4,101.2
AL062018,01-09-2018/00:00:00,14.0,24.9,0,8.0,7.2,3.0,-12.6,-14.5,55.9,18.0
AL062018,01-09-2018/06:00:00,14.3,26.1,0,8.4,0.4,-14.8,-27.3,1.1,47.8,20.2
AL062018,01-09-2018/12:00:00,14.8,27.2,0,-8.0,-11.3,-33.9,-43.7,11.0,34.6,26.7
AL062018,01-09-2018/18:00:00,15.4,28.3,0,0.9,-9.5,-10.8,-15.4,17.8,47.4,106.3
AL062018,02-09-2018/00:00:00,15.9,29.6,0,-10.4,-21.2,-24.6,-9.0,24.9,8.5,127.9
AL062018,02-09-2018/06:00:00,16.4,30.9,0,-18.1,-22.0,-15.4,-3.6,13.4,-8.6,147.4
AL062018,02-09-2018/12:00:00,16.8,32.4,0,1.2,7.2,21.7,23.2,40.0,15.3,177.8
AL062018,02-09-2018/18:00:00,17.1,33.8,0,14.1,20.4,24.9,33.1,46.4,92.1,210.5
AL062018,03-09-2018/00:00:00,17.6,35.2,0,6.9,21.7,41.6,67.9,31.0,186.6,199.1
AL062018,03-09-2018/06:00:00,17.9,36.6,0,21.4,32.5,42.1,52.8,59.9,228.8,169.1
AL062018,03-09-2018/12:00:00,18.2,38.0,0,25.3,38.8,75.8,77.7,86.1,209.3,210.6
AL062018,03-09-2018/18:00:00,18.4,39.2,0,18.6,39.4,50.8,65.1,136.0,168.8,161.3
AL062018,04-09-2018/00:00:00,18.7,40.2,0,32.2,62.7,69.9,53.5,168.6,140.2,96.6
AL062018,04-09-2018/06:00:00,19.1,41.2,0,41.3,53.1,58.1,57.0,168.4,83.4,54.6
AL062018,04-09-2018/12:00:00,19.5,42.0,0,25.7,31.4,17.9,31.1,80.3,48.5,21.4
AL062018,04-09-2018/18:00:00,20.0,42.7,0,17.7,15.7,14.4,52.5,45.0,26.9,-10.7
AL062018,05-09-2018/00:00:00,20.4,43.4,0,6.6,4.2,13.3,60.2,22.8,6.1,59.2
AL062018,05-09-2018/06:00:00,21.1,44.3,0,-2.8,-4.2,30.5,65.3,17.5,11.4,36.5
AL062018,05-09-2018/12:00:00,21.7,45.2,0,-6.4,3.0,44.9,52.2,32.6,48.6,16.1
AL062018,05-09-2018/18:00:00,22.4,46.2,0,5.3,24.8,54.3,43.4,43.4,37.8,35.0
AL062018,06-09-2018/00:00:00,23.1,46.9,0,-1.5,15.3,22.0,8.9,16.5,71.7,80.6
AL062018,06-09-2018/06:00:00,23.8,47.6,0,4.8,27.1,4.9,-9.3,9.9,61.1,69.7
AL062018,06-09-2018/12:00:00,24.4,48.2,0,14.3,5.0,-22.7,-5.4,16.3,36.5,77.6
AL062018,06-09-2018/18:00:00,24.8,49.0,0,21.7,0.3,-19.1,5.4,21.7,69.0,99.1
AL062018,07-09-2018/00:00:00,25.0,49.6,0,-18.6,-41.4,-27.2,-26.2,17.3,61.7,72.1
AL062018,07-09-2018/06:00:00,25.0,50.3,0,-13.0,-25.2,-10.9,-14.3,12.3,42.5,64.4
AL062018,07-09-2018/12:00:00,24.9,51.1,0,-6.9,-5.4,0.2,5.4,27.7,61.0,76.3
AL062018,07-09-2018/18:00:00,24.8,52.0,0,-5.4,10.9,13.4,16.4,25.9,36.6,45.2
AL062018,08-09-2018/06:00:00,24.6,53.6,0,27.3,24.1,27.3,34.4,41.1,8.1,-9.4
AL062018,08-09-2018/18:00:00,24.6,54.5,0,-7.9,-5.5,-1.8,-1.7,-7.5,-14.9,5.3
AL062018,09-09-2018/00:00:00,24.5,55.0,0,-10.9,8.6,-7.1,4.2,-39.0,-52.2,38.3
AL062018,09-09-2018/12:00:00,24.4,56.1,0,5.4,-10.7,-5.1,-12.2,-9.0,-10.7,20.0
AL062018,09-09-2018/18:00:00,24.4,56.7,0,-6.5,-12.1,-7.0,-14.7,22.0,59.1,14.8
AL062018,10-09-2018/00:00:00,24.5,57.3,0,-21.3,-15.2,-15.1,-26.6,1.9,35.8,-13.0
AL062018,10-09-2018/06:00:00,24.7,58.4,0,-1.7,-3.3,-7.2,-5.6,12.1,48.0,-41.3
AL062018,10-09-2018/12:00:00,24.9,59.5,0,3.0,-2.1,-12.1,16.4,40.2,44.4,-53.0
AL062018,11-09-2018/12:00:00,26.5,64.7,0,-29.1,-4.3,-20.5,-16.7,-40.2,-102.7,-98.8
AL062018,11-09-2018/18:00:00,27.2,66.4,0,-8.8,7.5,-2.7,1.7,-40.8,-49.6,54.1
AL062018,12-09-2018/00:00:00,27.9,68.1,0,11.0,3.1,6.6,2.4,-35.5,-24.9,-4.6
AL062018,12-09-2018/06:00:00,28.7,69.5,0,3.3,-10.5,-9.1,-3.1,-52.0,-55.0,-127.5
AL082018,07-09-2018/12:00:00,13.4,16.8,0,31.5,19.2,18.1,60.0,171.5,203.1,115.6
AL082018,07-09-2018/18:00:00,13.5,17.4,0,56.6,45.0,57.2,125.2,178.5,206.5,87.7
AL082018,08-09-2018/00:00:00,13.6,18.0,0,-3.6,0.2,37.9,100.2,134.1,176.8,17.3
AL082018,08-09-2018/06:00:00,13.7,18.9,0,4.9,0.7,54.4,92.8,134.0,99.8,-0.7
AL082018,08-09-2018/12:00:00,13.5,19.9,0,9.6,27.1,76.2,93.1,122.6,38.5,-74.3
AL082018,08-09-2018/18:00:00,13.3,21.0,0,2.7,42.1,71.9,78.5,125.5,2.2,-144.0
AL082018,09-09-2018/00:00:00,13.2,22.2,0,12.2,40.9,46.3,48.4,54.1,-75.2,-281.9
AL082018,09-09-2018/06:00:00,13.1,23.4,0,22.9,51.0,59.5,63.9,-15.1,-104.1,-274.8
AL082018,09-09-2018/12:00:00,13.2,24.5,0,22.4,31.8,28.8,41.7,-58.7,-170.2,-358.6
AL082018,09-09-2018/18:00:00,13.4,25.6,0,4.3,-5.1,-5.2,-3.1,-119.5,-234.0,-391.0
AL082018,10-09-2018/00:00:00,13.7,26.7,0,-11.1,-20.6,-6.7,-25.8,-135.9,-222.0,-387.0
AL082018,10-09-2018/06:00:00,14.0,28.0,0,5.6,6.6,18.1,-50.9,-132.1,-253.2,-415.0
AL082018,10-09-2018/12:00:00,14.4,29.4,0,-7.6,4.7,-7.4,-67.9,-146.7,-293.9,-455.9
AL082018,10-09-2018/18:00:00,14.8,30.8,0,1.2,10.5,-39.0,-75.3,-144.0,-324.3,-375.0
AL082018,11-09-2018/06:00:00,15.7,33.2,0,15.9,-22.7,-55.2,-78.4,-225.0,-324.3,-230.2
AL092018,07-09-2018/18:00:00,13.7,34.9,0,-12.9,-11.8,-3.1,-31.2,-46.5,-93.0,-76.7
AL092018,08-09-2018/00:00:00,13.9,34.9,0,-16.9,-15.5,-17.4,-35.2,-58.4,-86.3,-59.4
AL092018,08-09-2018/06:00:00,14.2,35.2,0,-12.6,-13.2,-15.7,-11.6,-17.8,-11.6,-96.3
