STMID,Date/Time,Lat,Lon,000hC01,012hC01,024hC01,036hC01,048hC01,072hC01,096hC01,120hC01
AL012018,25-05-2018/12:00:00,18.8,87.1,0,-103.7,-35.7,-62.4,-90.7,-105.2,-137.3,-19.3
AL012018,25-05-2018/18:00:00,18.7,86.5,0,-33.5,-20.4,-64.8,-79.1,-99.3,-94.6,58.7
AL012018,26-05-2018/00:00:00,18.9,85.9,0,13.2,2.5,-57.7,-72.1,-84.7,-54.5,149.5
AL032018,06-07-2018/18:00:00,31.8,73.6,0,23.2,63.1,71.6,-70.1,-90.3,-33.8,-54.3
AL032018,07-07-2018/00:00:00,32.2,74.2,0,37.2,61.6,-36.0,-73.2,-19.7,-31.7,-53.0
AL032018,07-07-2018/06:00:00,32.6,74.6,0,52.0,57.8,-67.2,-78.9,-20.2,-69.9,-66.5
AL032018,07-07-2018/12:00:00,32.7,74.9,0,38.5,-24.0,-77.1,-67.1,11.3,-38.7,21.6
AL062018,31-08-2018/18:00:00,13.8,23.8,0,-8.7,-51.7,-52.7,-43.9,-26.6,-44.3,-31.3
AL062018,01-09-2018/00:00:00,14.0,24.9,0,-10.4,-28.7,-32.0,-33.7,-8.0,-27.0,-28.4
AL062018,01-09-2018/06:00:00,14.3,26.1,0,-32.3,-45.4,-39.7,-43.1,-26.5,-47.6,-48.6
AL062018,01-09-2018/12:00:00,14.8,27.2,0,-35.6,-40.5,-57.8,-63.9,-39.8,-76.4,-109.3
AL062018,01-09-2018/18:00:00,15.4,28.3,0,-13.3,-16.3,-22.2,-21.7,-51.2,-103.4,-147.5
AL062018,02-09-2018/00:00:00,15.9,29.6,0,-15.8,-24.1,-31.3,-28.6,-78.4,-150.8,-110.9
AL062018,02-09-2018/06:00:00,16.4,30.9,0,-2.1,-19.6,-21.7,-37.6,-89.2,-150.4,-60.0
AL062018,02-09-2018/12:00:00,16.8,32.4,0,-13.2,-20.1,-25.7,-53.0,-117.2,-194.7,-11.8
AL062018,02-09-2018/18:00:00,17.1,33.8,0,-15.5,-15.8,-43.1,-77.9,-132.8,-173.9,68.1
AL062018,03-09-2018/00:00:00,17.6,35.2,0,4.6,-6.9,-42.4,-83.5,-175.2,-158.0,72.7
AL062018,03-09-2018/06:00:00,17.9,36.6,0,-9.8,-39.8,-84.7,-129.8,-207.3,-30.0,111.6
AL062018,03-09-2018/12:00:00,18.2,38.0,0,-14.3,-47.7,-81.3,-122.0,-218.9,34.9,144.0
AL062018,03-09-2018/18:00:00,18.4,39.2,0,-14.4,-60.1,-96.9,-116.9,-150.1,93.2,204.0
AL062018,04-09-2018/00:00:00,18.7,40.2,0,-23.8,-59.3,-94.3,-146.5,-93.9,144.1,260.8
AL062018,04-09-2018/06:00:00,19.1,41.2,0,-38.9,-67.6,-89.0,-142.0,12.0,164.9,300.7
AL062018,04-09-2018/12:00:00,19.5,42.0,0,-22.7,-52.0,-81.3,-105.2,53.5,174.0,305.9
AL062018,04-09-2018/18:00:00,20.0,42.7,0,-22.5,-34.4,-68.9,-63.1,78.0,174.0,305.9
AL062018,05-09-2018/00:00:00,20.4,43.4,0,-19.5,-48.8,-76.9,-41.3,81.4,173.3,263.6
AL062018,05-09-2018/06:00:00,21.1,44.3,0,-12.9,-48.7,-57.8,-6.0,63.5,149.9,237.4
AL062018,05-09-2018/12:00:00,21.7,45.2,0,-28.5,-56.6,-35.7,19.3,66.0,156.0,217.0
AL062018,05-09-2018/18:00:00,22.4,46.2,0,-32.4,-34.2,12.0,47.6,84.0,156.0,227.5
AL062018,06-09-2018/00:00:00,23.1,46.9,0,-16.2,-5.6,39.4,61.5,101.9,151.5,187.7
AL062018,06-09-2018/06:00:00,23.8,47.6,0,-2.6,24.0,49.0,59.3,106.6,140.7,166.7
AL062018,06-09-2018/12:00:00,24.4,48.2,0,7.5,43.1,51.6,66.0,114.0,182.3,163.2
AL062018,06-09-2018/18:00:00,24.8,49.0,0,24.0,42.3,51.6,60.0,120.0,154.7,139.3
AL062018,07-09-2018/00:00:00,25.0,49.6,0,15.6,25.1,36.0,43.4,94.4,105.1,105.4
AL062018,07-09-2018/06:00:00,25.0,50.3,0,16.5,20.3,24.0,39.8,89.3,80.9,51.2
AL062018,07-09-2018/12:00:00,24.9,51.1,0,11.2,18.0,24.6,42.0,55.6,41.3,-7.7
AL062018,08-09-2018/00:00:00,24.7,52.9,0,6.0,14.1,18.0,24.6,1.9,-30.7,-89.7
AL062018,08-09-2018/12:00:00,24.6,54.1,0,5.9,12.0,15.7,13.9,-15.0,-68.2,-135.9
AL062018,08-09-2018/18:00:00,24.6,54.5,0,10.5,18.0,18.7,13.1,-16.3,-60.5,-82.8
AL062018,09-09-2018/00:00:00,24.5,55.0,0,6.0,16.7,19.8,11.3,-8.3,-74.9,-53.5
