STMID,Date/Time,Lat,Lon,000hI01,012hI01,024hI01,036hI01,048hI01,072hI01,096hI01,120hI01
AL012018,25-05-2018/12:00:00,18.8,87.1,0,5.0,10.0,10.0,10.0,5.0,0.0,-10.0
AL012018,25-05-2018/18:00:00,18.7,86.5,0,10.0,10.0,15.0,10.0,10.0,0.0,-10.0
AL012018,26-05-2018/00:00:00,18.9,85.9,0,5.0,5.0,10.0,0.0,25.0,0.0,-10.0
AL032018,06-07-2018/18:00:00,31.8,73.6,0,5.0,5.0,5.0,5.0,-5.0,-10.0,-10.0
AL032018,07-07-2018/00:00:00,32.2,74.2,0,5.0,5.0,5.0,0.0,-10.0,-25.0,-10.0
AL032018,07-07-2018/06:00:00,32.6,74.6,0,0.0,0.0,0.0,0.0,-5.0,-25.0,0.0
AL032018,07-07-2018/12:00:00,32.7,74.9,0,0.0,5.0,0.0,0.0,-15.0,-20.0,-10.0
AL062018,31-08-2018/18:00:00,13.8,23.8,0,0.0,0.0,-5.0,0.0,-5.0,-15.0,-60.0
AL062018,01-09-2018/00:00:00,14.0,24.9,0,0.0,-5.0,-5.0,0.0,-10.0,-25.0,-60.0
AL062018,01-09-2018/06:00:00,14.3,26.1,0,0.0,-5.0,0.0,5.0,-5.0,-35.0,-50.0
AL062018,01-09-2018/12:00:00,14.8,27.2,0,0.0,0.0,0.0,0.0,-10.0,-45.0,-35.0
AL062018,01-09-2018/18:00:00,15.4,28.3,0,-5.0,0.0,5.0,-5.0,-20.0,-65.0,-25.0
AL062018,02-09-2018/00:00:00,15.9,29.6,0,0.0,5.0,0.0,-10.0,-30.0,-65.0,-10.0
AL062018,02-09-2018/06:00:00,16.4,30.9,0,5.0,5.0,-5.0,-10.0,-40.0,-55.0,-10.0
AL062018,02-09-2018/12:00:00,16.8,32.4,0,-5.0,-10.0,-20.0,-25.0,-60.0,-45.0,0.0
AL062018,02-09-2018/18:00:00,17.1,33.8,0,-5.0,-15.0,-20.0,-30.0,-70.0,-30.0,0.0
AL062018,03-09-2018/00:00:00,17.6,35.2,0,-10.0,-20.0,-25.0,-40.0,-75.0,-20.0,-5.0
AL062018,03-09-2018/06:00:00,17.9,36.6,0,-5.0,-15.0,-30.0,-50.0,-65.0,-10.0,0.0
AL062018,03-09-2018/12:00:00,18.2,38.0,0,-5.0,-10.0,-30.0,-55.0,-45.0,-5.0,0.0
AL062018,03-09-2018/18:00:00,18.4,39.2,0,-5.0,-20.0,-40.0,-65.0,-25.0,0.0,0.0
AL062018,04-09-2018/00:00:00,18.7,40.2,0,-10.0,-30.0,-50.0,-65.0,-10.0,0.0,0.0
AL062018,04-09-2018/06:00:00,19.1,41.2,0,-15.0,-35.0,-60.0,-55.0,-5.0,0.0,5.0
AL062018,04-09-2018/12:00:00,19.5,42.0,0,-20.0,-40.0,-55.0,-35.0,-5.0,0.0,0.0
AL062018,04-09-2018/18:00:00,20.0,42.7,0,-15.0,-40.0,-40.0,-15.0,0.0,0.0,0.0
AL062018,05-09-2018/00:00:00,20.4,43.4,0,-15.0,-35.0,-20.0,5.0,10.0,10.0,0.0
AL062018,05-09-2018/06:00:00,21.1,44.3,0,-25.0,-25.0,-5.0,15.0,20.0,20.0,-5.0
AL062018,05-09-2018/12:00:00,21.7,45.2,0,-5.0,10.0,35.0,35.0,35.0,30.0,-10.0
AL062018,05-09-2018/18:00:00,22.4,46.2,0,5.0,30.0,45.0,40.0,40.0,35.0,-15.0
AL062018,06-09-2018/00:00:00,23.1,46.9,0,15.0,40.0,40.0,40.0,40.0,25.0,0.0
AL062018,06-09-2018/06:00:00,23.8,47.6,0,15.0,35.0,35.0,35.0,35.0,15.0,-5.0
AL062018,06-09-2018/12:00:00,24.4,48.2,0,20.0,20.0,20.0,25.0,25.0,-5.0,-20.0
AL062018,06-09-2018/18:00:00,24.8,49.0,0,5.0,10.0,15.0,15.0,20.0,-20.0,-25.0
AL062018,07-09-2018/00:00:00,25.0,49.6,0,0.0,5.0,10.0,15.0,10.0,-10.0,-10.0
