STMID,Date/Time,Lat,Lon,000hT01,012hT01,024hT01,036hT01,048hT01,072hT01,096hT01,120hT01
AL012018,25-05-2018/12:00:00,18.8,87.1,0,103.8,53.7,62.5,91.4,105.4,160.7,280.2
AL012018,25-05-2018/18:00:00,18.7,86.5,0,68.1,23.0,71.0,80.0,110.3,163.7,283.4
AL012018,26-05-2018/00:00:00,18.9,85.9,0,37.7,45.1,90.0,76.8,111.0,175.1,300.9
AL032018,06-07-2018/18:00:00,31.8,73.6,0,23.5,64.4,77.1,82.4,91.1,45.5,133.2
AL032018,07-07-2018/00:00:00,32.2,74.2,0,39.2,62.6,53.9,75.1,95.5,50.3,130.7
AL032018,07-07-2018/06:00:00,32.6,74.6,0,52.0,61.6,77.2,106.1,149.3,166.1,81.8
AL032018,07-07-2018/12:00:00,32.7,74.9,0,39.1,46.7,77.3,131.5,233.5,337.1,298.1
AL062018,31-08-2018/18:00:00,13.8,23.8,0,34.9,60.1,63.1,54.0,29.5,73.3,105.9
AL062018,01-09-2018/00:00:00,14.0,24.9,0,13.1,29.6,32.1,36.0,16.5,62.1,33.7
AL062018,01-09-2018/06:00:00,14.3,26.1,0,33.4,45.4,42.4,51.0,26.5,67.5,52.6
AL062018,01-09-2018/12:00:00,14.8,27.2,0,36.5,42.0,67.0,77.5,41.3,83.9,112.5
AL062018,01-09-2018/18:00:00,15.4,28.3,0,13.3,18.9,24.7,26.6,54.2,113.8,181.8
AL062018,02-09-2018/00:00:00,15.9,29.6,0,18.9,32.1,39.9,30.0,82.2,151.0,169.3
AL062018,02-09-2018/06:00:00,16.4,30.9,0,18.2,29.5,26.6,37.7,90.2,150.6,159.2
AL062018,02-09-2018/12:00:00,16.8,32.4,0,13.3,21.3,33.7,57.9,123.8,195.4,178.2
AL062018,02-09-2018/18:00:00,17.1,33.8,0,20.9,25.8,49.8,84.6,140.6,196.8,221.3
AL062018,03-09-2018/00:00:00,17.6,35.2,0,8.3,22.7,59.4,107.6,178.0,244.6,212.0
AL062018,03-09-2018/06:00:00,17.9,36.6,0,23.6,51.4,94.6,140.1,215.8,230.8,202.7
AL062018,03-09-2018/12:00:00,18.2,38.0,0,29.1,61.5,111.1,144.7,235.3,212.2,255.2
AL062018,03-09-2018/18:00:00,18.4,39.2,0,23.5,71.9,109.4,133.8,202.5,192.8,260.1
AL062018,04-09-2018/00:00:00,18.7,40.2,0,40.1,86.3,117.4,156.0,193.1,201.1,278.2
AL062018,04-09-2018/06:00:00,19.1,41.2,0,56.7,86.0,106.3,153.1,168.9,184.8,305.6
AL062018,04-09-2018/12:00:00,19.5,42.0,0,34.3,60.8,83.3,109.7,96.5,180.6,306.7
AL062018,04-09-2018/18:00:00,20.0,42.7,0,28.6,37.9,70.4,82.1,90.1,176.1,306.2
AL062018,05-09-2018/00:00:00,20.4,43.4,0,20.6,49.0,78.0,73.0,84.5,173.5,270.2
AL062018,05-09-2018/06:00:00,21.1,44.3,0,13.2,48.8,65.4,65.6,65.9,150.4,240.2
AL062018,05-09-2018/12:00:00,21.7,45.2,0,29.2,56.7,57.3,55.7,73.6,163.4,217.7
AL062018,05-09-2018/18:00:00,22.4,46.2,0,32.9,42.2,55.6,64.4,94.5,160.5,230.2
AL062018,06-09-2018/00:00:00,23.1,46.9,0,16.2,16.3,45.1,62.2,103.2,167.7,204.3
AL062018,06-09-2018/06:00:00,23.8,47.6,0,5.4,36.2,49.2,60.0,107.1,153.5,180.7
AL062018,06-09-2018/12:00:00,24.4,48.2,0,16.2,43.4,56.4,66.2,115.2,186.0,180.7
AL062018,06-09-2018/18:00:00,24.8,49.0,0,32.4,42.3,55.1,60.2,121.9,169.4,170.9
AL062018,07-09-2018/00:00:00,25.0,49.6,0,24.3,48.5,45.1,50.7,96.0,121.9,127.7
AL062018,07-09-2018/06:00:00,25.0,50.3,0,21.0,32.4,26.4,42.4,90.2,91.4,82.3
AL062018,07-09-2018/12:00:00,24.9,51.1,0,13.2,18.8,24.6,42.4,62.2,73.7,76.7
AL062018,07-09-2018/18:00:00,24.8,52.0,0,5.5,10.9,20.3,29.0,39.5,36.7,57.2
AL062018,08-09-2018/00:00:00,24.7,52.9,0,6.0,16.2,21.1,40.5,29.6,32.1,89.8
AL062018,08-09-2018/06:00:00,24.6,53.6,0,27.3,29.8,29.8,34.8,43.1,55.9,121.6
AL062018,08-09-2018/12:00:00,24.6,54.1,0,6.0,12.0,21.0,16.2,16.1,68.4,136.0
AL062018,08-09-2018/18:00:00,24.6,54.5,0,13.2,18.8,18.8,13.2,18.0,62.4,83.0
AL062018,09-09-2018/00:00:00,24.5,55.0,0,12.5,18.8,21.0,12.0,39.9,91.3,65.8
AL062018,09-09-2018/06:00:00,24.4,55.5,0,12.0,8.1,12.4,8.1,36.7,72.7,36.7
AL062018,09-09-2018/12:00:00,24.4,56.1,0,5.5,10.9,5.4,12.3,24.6,64.5,61.6
AL062018,09-09-2018/18:00:00,24.4,56.7,0,8.1,12.4,8.1,16.1,36.7,75.2,66.9
AL062018,10-09-2018/00:00:00,24.5,57.3,0,21.8,16.2,16.1,27.2,27.3,49.7,78.6
AL062018,10-09-2018/06:00:00,24.7,58.4,0,13.2,8.1,12.2,12.1,32.7,48.1,126.9
AL062018,10-09-2018/12:00:00,24.9,59.5,0,8.1,6.0,12.2,16.8,60.6,76.6,146.1
AL062018,11-09-2018/12:00:00,26.5,64.7,0,29.1,5.2,24.5,30.4,40.2,109.0,150.9
AL062018,11-09-2018/18:00:00,27.2,66.4,0,10.5,10.4,23.6,15.6,45.9,97.5,98.0
AL062018,12-09-2018/00:00:00,27.9,68.1,0,13.1,11.9,23.4,19.2,38.3,48.8,15.9
AL062018,12-09-2018/06:00:00,28.7,69.5,0,12.0,26.1,24.5,24.5,55.2,55.0,132.1
AL082018,07-09-2018/12:00:00,13.4,16.8,0,39.4,29.5,64.4,99.0,178.5,203.1,265.4
AL082018,07-09-2018/18:00:00,13.5,17.4,0,59.5,63.6,101.0,142.5,186.4,234.6,298.1
AL082018,08-09-2018/00:00:00,13.6,18.0,0,18.0,66.3,100.3,126.9,145.5,217.9,313.5
AL082018,08-09-2018/06:00:00,13.7,18.9,0,37.8,60.3,88.0,112.9,141.6,210.9,293.4
AL082018,08-09-2018/12:00:00,13.5,19.9,0,26.7,48.0,83.7,97.5,124.6,214.8,297.0
AL082018,08-09-2018/18:00:00,13.3,21.0,0,36.5,54.7,76.5,81.2,143.9,227.8,314.1
AL082018,09-09-2018/00:00:00,13.2,22.2,0,13.1,41.2,46.9,52.1,124.0,239.1,395.8
AL082018,09-09-2018/06:00:00,13.1,23.4,0,23.3,52.4,64.1,77.3,162.6,251.6,383.0
AL082018,09-09-2018/12:00:00,13.2,24.5,0,23.3,35.4,47.1,75.4,177.4,272.7,462.5
AL082018,09-09-2018/18:00:00,13.4,25.6,0,8.4,18.0,30.6,74.8,199.5,289.6,438.6
AL082018,10-09-2018/00:00:00,13.7,26.7,0,11.6,21.1,32.1,85.4,195.9,278.5,411.8
AL082018,10-09-2018/06:00:00,14.0,28.0,0,5.8,16.7,64.9,120.4,195.1,308.7,434.8
AL082018,10-09-2018/12:00:00,14.4,29.4,0,8.3,25.0,66.4,134.1,194.5,335.7,459.7
AL082018,10-09-2018/18:00:00,14.8,30.8,0,13.3,46.9,99.3,130.5,184.2,348.0,389.5
