Region,X,Y,CAPACITY
Apalachee,-84.7274087888889,30.315699,37336.0
Central Florida,-81.52398394,27.4728802,59550.0
East Central Florida,-81.44376495,28.639173800000002,211220.0
Emerald Coast,-86.32847005714285,30.628157128571427,82959.0
North Central Florida,-82.88135519083333,29.984318791666666,49799.0
Northeast Florida,-81.71358048571429,30.045960514285714,93101.0
South Florida,-80.5983422,25.6122485,82211.0
Southwest Florida,-81.67500116666668,26.742617366666664,25530.0
Tampa Bay,-82.48146518333334,28.173276166666668,93449.0
Treasure Coast,-80.47405119999999,27.197399025,143415.0
