ffact,pfact,pcost,benders_ub,benders_comp_time,benders_num_nodes,benders_mip_gap
5,200,5.0,1986354.029,6737.827,4211.0,0.0
1,200,5.0,1352875.985,5732.766,4581.0,0.0
10,200,5.0,2762077.793,7551.945,4667.0,0.0
20,200,5.0,4265076.371,5545.948,3663.0,0.0
50,200,5.0,8518456.467,4821.056,3407.0,0.0
5,50,5.0,1954984.468,5155.376,4125.0,0.0
5,100,5.0,1976178.089,6811.094,4337.0,0.0
5,300,5.0,1989968.435,6797.049,4272.0,0.0
5,500,5.0,1995082.715,5829.709,3792.0,0.0
5,200,1.0,1093414.848,6360.295,4258.0,0.0
5,200,10.0,3066026.048,7584.859,4476.0,0.0
5,200,50.0,11086330.358,3871.234,3504.0,0.0
5,200,100.0,17342329.409,1314.106,2344.0,0.0
